date,AUD_CLOSE,DKK_CLOSE,EUR_CLOSE,HKD_CLOSE,JPY_CLOSE,MXN_CLOSE,NZD_CLOSE,NOK_CLOSE,SEK_CLOSE,CHF_CLOSE,GBP_CLOSE,USD_CLOSE
2010-03-05,0.9357,0.1886,1.4035,0.13275,0.01141,0.08158,0.7185,0.1747,0.1447,0.9593,1.5607,1.0305
2010-03-06,0.9357,0.1886,1.4035,0.13275,0.01141,0.08158,0.7185,0.1747,0.1447,0.9593,1.5607,1.0305
2010-03-07,0.9357,0.1886,1.4035,0.13275,0.01141,0.08158,0.7185,0.1747,0.1447,0.9593,1.5607,1.0305
2010-03-08,0.9345,0.1882,1.4007,0.132457,0.01138,0.08098,0.7195,0.1744,0.1445,0.9572,1.5479,1.0276
2010-03-09,0.9382,0.1876,1.3959,0.132288,0.01141,0.08128,0.7213,0.1739,0.1439,0.9541,1.539,1.0264
2010-03-10,0.9385,0.1882,1.4004,0.132235,0.01133,0.08139,0.7206,0.1748,0.144,0.9584,1.5357,1.0259
2010-03-11,0.9373,0.1883,1.4013,0.13202,0.01131,0.08149,0.7178,0.1747,0.1439,0.9586,1.5426,1.0243
2010-03-12,0.9324,0.1883,1.4013,0.131281,0.01126,0.08117,0.7141,0.1746,0.1444,0.9622,1.5462,1.0183
2010-03-13,0.9324,0.1883,1.4013,0.131281,0.01126,0.08117,0.7141,0.1746,0.1444,0.9622,1.5462,1.0183
2010-03-14,0.9324,0.1883,1.4013,0.131281,0.01126,0.08117,0.7141,0.1746,0.1444,0.9622,1.5462,1.0183
2010-03-15,0.9323,0.1874,1.3942,0.131433,0.01127,0.08132,0.7156,0.1736,0.1435,0.9598,1.5348,1.0197
2010-03-16,0.9312,0.1878,1.3969,0.13066,0.01124,0.08091,0.7198,0.1741,0.1434,0.9622,1.547,1.014
2010-03-17,0.9324,0.1866,1.3881,0.130178,0.01119,0.08119,0.7217,0.1737,0.1428,0.9584,1.5483,1.0103
2010-03-18,0.9339,0.1854,1.3795,0.130623,0.01122,0.08101,0.7247,0.1727,0.1423,0.9581,1.5447,1.0137
2010-03-19,0.9309,0.1849,1.3758,0.130995,0.01122,0.08078,0.7198,0.172,0.1417,0.9583,1.5264,1.0164
2010-03-20,0.9309,0.1849,1.3758,0.130995,0.01122,0.08078,0.7198,0.172,0.1417,0.9583,1.5264,1.0164
2010-03-21,0.9309,0.1849,1.3758,0.130995,0.01122,0.08078,0.7198,0.172,0.1417,0.9583,1.5264,1.0164
2010-03-22,0.9351,0.1856,1.3807,0.131272,0.0113,0.08118,0.7197,0.1718,0.1416,0.9625,1.538,1.0188
2010-03-23,0.9342,0.1844,1.3718,0.130913,0.01124,0.08136,0.7188,0.171,0.1413,0.9607,1.5288,1.0161
2010-03-24,0.9311,0.1836,1.3662,0.132107,0.01113,0.08148,0.7197,0.1698,0.141,0.9554,1.5259,1.0253
2010-03-25,0.9298,0.1829,1.3611,0.132045,0.01105,0.08163,0.7206,0.1683,0.1409,0.9543,1.5185,1.0248
2010-03-26,0.9275,0.1851,1.3774,0.132266,0.0111,0.08212,0.7228,0.17,0.1416,0.9633,1.5295,1.0267
2010-03-27,0.9275,0.1851,1.3774,0.132266,0.0111,0.08212,0.7228,0.17,0.1416,0.9633,1.5295,1.0267
2010-03-28,0.9275,0.1851,1.3774,0.132266,0.0111,0.08212,0.7228,0.17,0.1416,0.9633,1.5295,1.0267
2010-03-29,0.9361,0.1849,1.376,0.131478,0.01104,0.08203,0.7239,0.1713,0.1407,0.9607,1.5292,1.0207
2010-03-30,0.9359,0.1837,1.3676,0.131306,0.01099,0.08226,0.7231,0.1702,0.1401,0.9557,1.5363,1.0195
2010-03-31,0.9321,0.1843,1.372,0.13083,0.01086,0.08216,0.7216,0.1709,0.1407,0.9633,1.5414,1.0158
2010-04-01,0.9279,0.184,1.3699,0.129833,0.01074,0.0818,0.7134,0.1703,0.141,0.9566,1.5417,1.0084
2010-04-02,0.9279,0.184,1.3699,0.129833,0.01074,0.0818,0.7134,0.1703,0.141,0.9566,1.5417,1.0084
2010-04-03,0.9279,0.184,1.3699,0.129833,0.01074,0.0818,0.7134,0.1703,0.141,0.9566,1.5417,1.0084
2010-04-04,0.9279,0.184,1.3699,0.129833,0.01074,0.0818,0.7134,0.1703,0.141,0.9566,1.5417,1.0084
